iter	Passed	Remaining
1141	13746	698
1142	13757	686
1143	13769	674
1144	13781	661
1145	13793	649
1146	13805	637
1147	13816	625
1148	13828	613
1149	13841	601
1150	13853	589
1151	13865	577
1152	13877	565
1153	13889	553
1154	13901	541
1155	13913	529
1156	13925	517
1157	13937	505
1158	13950	493
1159	13961	481
1160	13973	469
1161	13998	457
1162	14009	445
1163	14021	433
1164	14032	421
1165	14045	409
1166	14056	397
1167	14069	385
1168	14080	373
1169	14092	361
1170	14103	349
1171	14116	337
1172	14128	325
1173	14140	313
1174	14152	301
1175	14164	289
1176	14176	277
1177	14188	264
1178	14200	252
1179	14212	240
1180	14224	228
1181	14236	216
1182	14248	204
1183	14259	192
1184	14271	180
1185	14283	168
1186	14294	156
1187	14306	144
1188	14319	132
1189	14331	120
1190	14342	108
1191	14355	96
1192	14366	84
1193	14377	72
1194	14389	60
1195	14401	48
1196	14413	36
1197	14425	24
1198	14437	12
1199	14450	0
